iter	Passed	Remaining
0	97	19401
1	216	21461
2	339	22289
3	469	23012
4	597	23308
5	714	23097
6	818	22555
7	940	22583
8	1067	22649
9	1190	22618
10	1318	22660
11	1435	22486
12	1554	22357
13	1684	22384
14	1801	22217
15	1929	22191
16	2072	22311
17	2195	22194
18	2324	22147
19	2469	22222
20	2638	22487
21	2770	22413
22	2903	22341
23	3022	22163
24	3136	21958
25	3258	21808
26	3380	21662
27	3526	21661
28	3655	21552
29	3780	21425
30	3905	21293
31	4029	21155
32	4167	21088
33	4285	20923
34	4399	20739
35	4532	20646
36	4652	20496
37	4766	20319
38	4874	20121
39	4986	19946
40	5132	19905
41	5249	19747
42	5376	19631
43	5494	19480
44	5607	19314
45	5719	19146
46	5844	19024
47	5980	18937
48	6095	18785
49	6210	18631
50	6324	18476
51	6440	18329
52	6570	18222
53	6714	18154
54	6837	18026
55	6943	17853
56	7088	17784
57	7208	17648
58	7360	17589
59	7500	17500
60	7625	17375
61	7751	17253
62	7869	17112
63	7992	16984
64	8118	16860
65	8228	16706
66	8352	16580
67	8465	16433
68	8600	16329
69	8731	16215
70	8869	16114
71	8993	15989
72	9118	15863
73	9237	15727
74	9356	15594
75	9477	15463
76	9599	15334
77	9716	15197
78	9854	15093
79	9972	14959
80	10089	14822
81	10216	14701
82	10346	14585
83	10490	14486
84	10607	14351
85	10717	14207
86	10832	14070
87	10952	13939
88	11086	13826
89	11219	13712
90	11338	13581
91	11459	13452
92	11580	13324
93	11705	13200
94	11832	13078
95	11950	12946
96	12089	12837
97	12205	12703
98	12326	12575
99	12471	12471
100	12588	12339
101	12720	12221
102	12840	12092
103	12964	11967
104	13085	11839
105	13199	11704
106	13315	11573
107	13437	11447
108	13559	11320
109	13690	11201
110	13800	11065
111	13914	10932
112	14039	10808
113	14151	10675
114	14266	10544
115	14374	10409
116	14528	10306
117	14633	10169
118	14755	10043
119	14893	9928
120	15020	9806
121	15150	9686
122	15267	9557
123	15380	9427
124	15521	9312
125	15642	9187
126	15761	9059
127	15881	8933
128	15999	8805
129	16149	8695
130	16270	8570
131	16394	8445
132	16510	8317
133	16635	8193
134	16756	8067
135	16884	7945
136	17026	7829
137	17154	7707
138	17276	7581
139	17409	7461
140	17542	7340
19995	8774
139	20148	8635
140	20271	8482
141	20386	8326
142	20510	8175
143	20624	8020
144	20761	7874
145	20885	7724
146	21027	7581
147	21150	7431
148	21277	7282
149	21408	7136
47	33963	11933
148	34107	11674
149	34224	11408
150	34343	11144
151	34463	10883
152	34586	10624
153	34715	10369
154	34838	10114
155	34966	9862
156	35091	9611
157	35210	9359
158	35325	9109
159	35454	8863
160	35573	8617
161	35728	8380
162	35846	8136
163	35970	7895
164	36094	7656
165	36211	7416
166	36348	7182
167	36470	6946
168	36598	6713
169	36715	6479
170	36848	6249
171	36962	6017
172	37094	5789
173	37211	5560
174	37339	5334
175	37490	5112
176	37617	4888
177	37742	4664
178	37858	4441
179	37986	4220
180	38124	4002
181	38245	3782
182	38354	3562
183	38487	3346
184	38630	3132
185	38745	2916
186	38868	2702
187	38975	2487
188	39097	2275
189	39216	2064
190	39341	1853
191	39454	1643
192	39581	1435
193	39704	1227
194	39839	1021
195	39977	815
196	40095	610
197	40219	406
198	40342	202
199	40454	0
